,0
0,0.9307194
1,0.2050594
2,0.3504792
3,0.10269135
4,0.23971523
5,0.63501924
6,0.9963863
7,0.46774969
8,0.093199424
9,0.8233844
10,0.15452377
11,0.16542234
12,0.17723225
13,0.6814742
14,0.9029253
15,0.89890987
16,0.17559768
17,0.58899075
18,0.037254542
19,0.2059797
20,0.7688656
21,0.049730822
22,0.41586939
23,0.91870356
24,0.9247063
25,0.79970247
26,0.9786527
27,0.84001076
28,0.07685146
29,0.49595594
30,0.8265842
31,0.43049997
32,0.9269008
33,0.8150398
34,0.24551062
35,0.9098374
36,0.48659664
37,0.7196031
38,0.1221788
39,0.3271656
40,0.026103385
41,0.8362349
42,0.89710486
43,0.35711494
44,0.14476241
45,0.7807249
46,0.49940482
47,0.559788
48,0.10023924
49,0.08673622
50,0.22291665
51,0.8182448
52,0.7488689
53,0.58261085
54,0.20559944
55,0.61647844
56,0.3273408
57,0.3501994
58,0.20275517
59,0.558252
60,0.6504696
61,0.35905874
62,0.45506766
63,0.19753398
64,0.21859895
65,0.9239549
66,0.8530221
67,0.7517934
68,0.77568424
69,0.2528822
70,0.31437135
71,0.86479807
72,0.08870624
73,0.2536225
74,0.038981635
75,0.8153641
76,0.43053356
77,0.6067223
78,0.20577852
79,0.84058905
80,0.89067286
81,0.82851696
82,0.02846784
83,0.0913922
84,0.7924997
85,0.061537687
86,0.5856492
87,0.6192528
88,0.43647113
89,0.383477
90,0.8697399
91,0.22072324
92,0.07574258
93,0.36263147
94,0.98804617
95,0.892009
96,0.7394953
97,0.73618215
98,0.33763167
99,0.21541514
100,0.65883
101,0.68393856
102,0.8975714
103,0.93633634
104,0.50705934
105,0.38409412
106,0.3542351
107,0.8803466
108,0.77349997
109,0.8114165
110,0.73600173
111,0.9848171
112,0.23606071
113,0.7615962
114,0.38992962
115,0.43406188
116,0.8851514
117,0.8061802
118,0.020319412
119,0.14722274
120,0.8073781
121,0.69583607
122,0.7963811
123,0.54290026
124,0.9460759
125,0.6368284
126,0.351559
127,0.53663015
128,0.26586613
129,0.68733835
130,0.24794132
131,0.41074556
132,0.54700184
133,0.11475433
134,0.26276386
135,0.15725265
136,0.32612073
137,0.4478119
138,0.431134
139,0.012839557
140,0.17304838
141,0.77720225
142,0.53694034
143,0.58513397
144,0.95674616
145,0.6297279
146,0.006529134
